A+AF8-id,Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
22.0,+AC0-2.423946222,+AC0-0.698500653,0.146030407,0.630106169,2.990560508,0.779472898,3.184188187,0.0
23.0,0.135714199,+AC0-0.753756857,+AC0-2.196146456,1.039276088,0.580537553,0.227308777,2.086618541,0.0
24.0,0.522960759,+AC0-1.428085244,+AC0-0.743518743,1.786716194,+AC0-4.207543546,+AC0-1.825231216,+AC0-1.430429857,0.0
25.0,+AC0-1.299468393,+AC0-3.504792012,+AC0-1.129402004,0.555905383,+AC0-2.807550163,1.714630108,+AC0-3.846641823,0.0
26.0,+AC0-0.300698281,+AC0-0.513603251,0.921006242,1.378172075,2.274746687,0.745336375,+AC0-2.93402889,1.0
27.0,1.999830964,0.669989798,+AC0-2.099615991,2.645818971,+AC0-0.989495892,0.373330128,+AC0-2.397691796,0.0
28.0,1.44605205,1.656691823,+AC0-1.77752075,1.708962209,+AC0-0.341670322,+AC0-1.322439494,+AC0-1.158128067,0.0
29.0,+AC0-0.595825477,1.53467991,+AC0-1.769318974,0.664501835,+AC0-0.432874451,0.800438687,1.64595436,0.0
30.0,0.41049215,+AC0-2.260290059,+AC0-3.335948019,+AC0-0.285205194,+AC0-2.733844264,2.585985706,+AC0-3.036919711,0.0
31.0,+AC0-2.560871547,+AC0-0.096411696,2.413774105,1.318293666,3.271688133,+AC0-1.797184556,+AC0-2.636844815,1.0
32.0,1.681662618,+AC0-2.981673805,+AC0-0.079805091,+AC0-0.947866387,3.034812556,+AC0-0.708611234,1.166970737,1.0
33.0,+AC0-0.588796035,+AC0-1.121987147,2.324295089,0.31193071,5.148739416,+AC0-3.351988405,5.560108693,0.0
34.0,+AC0-0.034367939,+AC0-1.332805096,2.329101271,2.862758897,0.825239311,1.062672091,2.300330525,1.0
35.0,+AC0-0.955402343,+AC0-2.461096775,+AC0-4.087156169,0.839107617,1.003216188,4.97563997,+AC0-0.98138767,0.0
36.0,+AC0-3.061165273,0.837103637,+AC0-1.076638228,1.524738013,1.764140258,+AC0-0.05647271,+AC0-1.495112616,1.0
37.0,3.948113709,+AC0-1.634183083,+AC0-4.773780118,1.9316313,0.790539691,1.583097197,+AC0-2.478055932,1.0
38.0,+AC0-1.796718509,+AC0-3.469227293,3.685436759,+AC0-0.164140623,1.32029846,1.480109529,+AC0-2.292964433,1.0
39.0,1.286737909,+AC0-2.429524527,0.956133102,1.477542241,4.786375676,+AC0-3.382357404,2.519346925,1.0
40.0,1.196545025,+AC0-1.448104291,+AC0-0.921516758,2.005491286,0.404741482,+AC0-0.700778848,1.071129708,0.0
41.0,+AC0-0.354190342,+AC0-2.024042534,1.36698489,3.233616169,0.992668519,1.525608545,2.740924761,1.0
42.0,+AC0-1.53860666,+AC0-2.747844387,1.844950057,0.491249069,+AC0-0.425815521,1.25976818,+AC0-1.680924092,0.0
43.0,0.807854104,0.752707011,0.179226346,1.451582185,+AC0-1.611859169,+AC0-2.776274958,0.184905607,0.0
44.0,3.930361392,2.754406492,+AC0-2.667949537,1.428248173,0.092761232,1.095793658,2.627274158,1.0
45.0,0.03347095,+AC0-0.044160963,+AC0-0.481202468,4.937209505,+AC0-0.609872897,+AC0-3.231504027,1.248791791,1.0
46.0,+AC0-0.487366694,+AC0-0.768805325,+AC0-0.779231515,2.025256619,1.477926984,0.267788073,+AC0-4.454570173,1.0
47.0,+AC0-1.387990181,2.738510761,+AC0-2.349216852,0.953438489,1.860715718,2.317309906,3.097818375,0.0
48.0,+AC0-3.328571498,0.652576936,+AC0-1.424402957,0.727385379,1.576921347,2.57780352,0.650677868,0.0
49.0,+AC0-1.107060152,2.261198229,+AC0-2.635197022,0.882264783,+AC0-0.02399536,2.218099369,2.865048371,0.0
50.0,+AC0-2.938616815,0.524454917,0.802257441,+AC0-1.475930881,+AC0-0.336348939,1.43064807,+AC0-2.298875523,1.0
51.0,+AC0-0.411307683,+AC0-1.758595285,+AC0-2.213864776,+AC0-0.149535258,1.576184296,0.929197409,1.416983091,0.0
52.0,1.343763324,+AC0-2.514417138,+AC0-3.461538942,3.841154192,0.280515139,+AC0-0.025436811,0.85622891,1.0
53.0,1.205450296,+AC0-1.783508474,0.652683061,2.442983435,1.34691458,1.115062157,+AC0-1.198656978,1.0
54.0,3.010344278,+AC0-3.423028629,+AC0-3.110977964,+AC0-1.543044507,3.567608188,1.696232599,0.445840404,1.0
55.0,2.032797084,+AC0-0.641021365,+AC0-2.409689916,2.936128289,1.675484552,+AC0-0.904588536,2.287350346,1.0
56.0,1.822657318,+AC0-0.545617297,+AC0-0.367820835,0.252983288,+AC0-0.789107409,2.135911779,+AC0-3.343955801,1.0
57.0,1.098486821,+AC0-1.020374176,1.211131183,1.260177674,+AC0-1.029902705,2.622737988,2.662547829,1.0
58.0,+AC0-0.479883026,+AC0-0.079195404,+AC0-0.843547042,3.049567607,3.663838119,+AC0-0.365698656,+AC0-1.473537531,1.0
59.0,0.833097732,0.449713632,+AC0-1.638548868,+AC0-0.63133803,2.830906373,+AC0-0.668860377,1.049428799,1.0
60.0,+AC0-3.464155339,1.352111148,0.458025722,0.892746743,3.129818456,+AC0-1.74467453,+AC0-2.204610725,1.0
61.0,+AC0-4.67414092,0.797045882,+AC0-0.897212669,+AC0-1.393983171,0.492129797,3.201707789,+AC0-0.58628671,0.0
62.0,+AC0-3.341493048,+AC0-1.355556544,1.433646684,1.722356677,0.112911807,0.68878842,1.619183695,0.0
63.0,0.455312607,+AC0-2.382895446,+AC0-0.83742965,+AC0-2.36617514,+AC0-0.276460122,0.852335249,+AC0-0.031126053,1.0
64.0,+AC0-2.236188121,+AC0-1.174561063,1.482703478,+AC0-0.277161056,1.497598428,1.075731385,+AC0-0.936970586,1.0
65.0,+AC0-3.567897971,1.043742178,2.563399581,0.437276711,1.678518225,+AC0-5.313838222,2.071983608,1.0
66.0,+AC0-2.188932795,2.131754258,0.260841291,3.886048374,+AC0-3.196263115,+AC0-3.560593877,0.089512941,1.0
67.0,+AC0-1.569763886,1.059864965,1.518880096,1.666096276,3.068931353,+AC0-1.48035112,2.769458608,0.0
68.0,+AC0-1.129060897,+AC0-0.257836171,+AC0-1.942238912,+AC0-0.020934662,+AC0-0.724138915,2.662111019,+AC0-0.112472887,0.0
69.0,+AC0-0.399608624,+AC0-3.198174574,+AC0-1.250639262,2.909277682,+AC0-2.314037098,+AC0-0.231112054,+AC0-3.029392365,0.0
70.0,0.610132436,+AC0-3.460818667,1.336759306,0.387451504,+AC0-0.136781229,2.988645551,+AC0-2.044768947,0.0
71.0,2.354402289,+AC0-2.660270254,2.615415905,+AC0-3.291210248,4.604454116,+AC0-1.240117421,3.689580857,1.0
72.0,0.562851227,+AC0-1.827989146,+AC0-4.622243679,+AC0-0.32573547,2.578804915,2.481541376,1.152768549,0.0
73.0,0.039413688,+AC0-1.137430244,0.477732329,1.656480571,+AC0-3.256232026,+AC0-0.503584221,0.528698798,0.0
74.0,+AC0-2.159610389,+AC0-1.295959495,+AC0-1.732435214,0.080724492,+AC0-1.95961421,2.723039718,+AC0-1.47788311,0.0
75.0,2.160591551,+AC0-1.608127507,+AC0-3.149539978,1.354258442,2.169308776,0.561455393,1.466043609,1.0
76.0,2.249782051,1.30681125,+AC0-3.362142903,+AC0-3.292343017,1.536373323,2.322693886,0.171703758,1.0
77.0,0.913367079,0.238227626,+AC0-0.86645313,0.411078967,0.777247078,+AC0-0.690557676,0.269081521,0.0
78.0,+AC0-2.178068955,0.711060019,+AC0-2.723528183,+AC0-0.79461916,1.371632238,2.661669238,+AC0-1.43801903,0.0
79.0,+AC0-2.1674624,+AC0-1.72966774,1.292344082,2.343027022,0.313248004,+AC0-0.90759004,+AC0-1.78744711,0.0
80.0,1.906895248,+AC0-0.286557035,+AC0-0.642276275,+AC0-0.909686603,0.56727051,0.447676716,2.331284997,1.0
81.0,+AC0-2.451373743,+AC0-2.460445365,3.310559586,1.100072267,1.667256216,+AC0-0.01057985,+AC0-0.908360248,1.0
82.0,2.355047056,+AC0-0.805007082,+AC0-4.046869242,+AC0-0.621273549,2.721016877,1.403612449,+AC0-1.735117708,0.0
83.0,1.41034947,+AC0-6.235107041,0.60667877,2.781526465,0.188419279,+AC0-1.655568486,1.787465613,1.0
84.0,1.75626858,+AC0-2.078246123,+AC0-1.347003072,1.570705713,0.205594839,3.33230319,+AC0-0.159879504,1.0
85.0,+AC0-0.490313544,+AC0-2.693594239,+AC0-2.262928126,1.408218703,0.894130314,4.097052626,+AC0-1.192975776,0.0
86.0,1.889651879,+AC0-1.234884586,+AC0-2.003226871,1.618220275,0.360724332,2.712213587,0.124914362,1.0
87.0,0.523551092,+AC0-0.785293429,0.307177459,+AC0-0.773882387,1.220446256,+AC0-1.329702358,1.355485212,1.0
88.0,+AC0-1.44761768,+AC0-0.40082252,+AC0-2.015819355,0.519147662,0.92156357,2.63835347,+AC0-0.52902919,0.0
89.0,1.288315468,0.118324055,+AC0-2.03989032,1.254207548,0.421780581,0.273822524,0.064352175,0.0
90.0,0.516948121,0.643780506,+AC0-2.752877948,1.265938234,0.714290184,1.041064133,+AC0-2.967415983,1.0
91.0,+AC0-0.629540613,+AC0-1.16111198,+AC0-0.33009969,0.930469883,2.087489482,0.369549864,+AC0-4.560905342,1.0
92.0,+AC0-0.691713124,+AC0-2.431340292,+AC0-0.909663545,2.428320647,0.242079363,2.313575569,1.285942944,0.0
93.0,+AC0-2.090430519,+AC0-2.261319641,3.822713915,+AC0-0.512140853,0.660595132,0.663423371,+AC0-1.714085315,1.0
94.0,0.097397568,+AC0-2.090139656,+AC0-5.018889094,0.173397255,1.524662353,5.278448329,+AC0-1.700396069,0.0
95.0,1.372602617,+AC0-0.81619118,+AC0-1.138033248,1.948956568,+AC0-0.222231916,+AC0-0.561915322,1.65215817,1.0
96.0,+AC0-0.618111889,+AC0-2.131703542,+AC0-1.580025186,+AC0-0.195316309,3.625676756,3.259309401,+AC0-1.633641993,0.0
97.0,1.80336603,+AC0-0.976044046,+AC0-1.54691943,0.926305296,3.13968117,+AC0-0.683222706,3.401455383,1.0
98.0,+AC0-0.201342768,0.579131757,+AC0-2.126035342,3.129284882,+AC0-4.401848909,+AC0-0.552627575,+AC0-2.249965831,1.0
99.0,+AC0-1.159324283,0.723172074,+AC0-0.040253594,+AC0-0.748296452,0.677957479,1.25184885,+AC0-2.146023387,1.0
100.0,+AC0-1.581378996,+AC0-0.759501459,0.135359641,1.881819633,1.998052361,0.729362217,0.286883321,1.0
101.0,+AC0-1.111426668,+AC0-2.084750358,2.519879958,0.918003904,1.377124216,0.937208835,+AC0-0.894186563,1.0
102.0,+AC0-1.921823652,+AC0-3.481362426,0.441475743,1.777523431,+AC0-0.283584197,0.82291936,+AC0-3.504485228,0.0
103.0,+AC0-1.96733108,0.77615106,0.271438354,0.695994122,2.157869261,+AC0-0.070030044,+AC0-1.521261721,1.0
104.0,+AC0-1.572555914,+AC0-0.009042436,1.969436236,1.884461994,0.977655875,+AC0-0.655248809,2.127518998,0.0
105.0,+AC0-0.426619219,+AC0-1.436843963,+AC0-0.660813891,+AC0-0.560818317,+AC0-1.871932248,1.269263936,+AC0-1.751339472,0.0
106.0,+AC0-0.725181296,+AC0-1.447133711,1.840994287,3.086182479,2.229221836,0.555091226,3.040761752,1.0
107.0,1.307057369,+AC0-2.355362326,+AC0-1.47080157,+AC0-1.043470187,1.835902543,0.113930514,+AC0-0.055333999,1.0
108.0,0.137097813,+AC0-3.035084729,+AC0-0.440600718,1.444977828,+AC0-3.824202947,0.85011358,+AC0-1.611571284,0.0
109.0,1.646001232,+AC0-3.027517619,0.250956223,0.965901296,+AC0-1.553907902,2.084908726,+AC0-0.474934654,0.0
110.0,1.438906462,+AC0-1.219056994,+AC0-0.337509507,+AC0-0.394803416,+AC0-1.117118275,3.082653988,+AC0-1.746685633,1.0
111.0,+AC0-1.213074179,+AC0-0.24908012,+AC0-0.002478363,2.509596721,1.498529064,0.755573897,+AC0-0.362616748,1.0
112.0,1.051510414,+AC0-4.311975447,+AC0-1.399048336,+AC0-2.791214794,4.268753723,0.501451971,1.61098811,1.0
113.0,+AC0-2.030890826,+AC0-1.642489803,+AC0-0.557159577,0.481269904,1.198923061,+AC0-0.083993546,5.381199793,0.0
114.0,+AC0-1.712198696,+AC0-2.529664978,+AC0-2.066911436,0.443358568,3.54650754,1.021727292,5.170171939,0.0
115.0,0.104978369,+AC0-1.600940028,+AC0-0.787057496,2.34568665,2.323311417,0.530314357,1.789687083,0.0
116.0,+AC0-1.051734165,+AC0-3.067908145,+AC0-2.904858823,+AC0-0.622345331,3.705094866,3.241975298,0.639425812,0.0
117.0,+AC0-1.447494934,+AC0-1.136977946,+AC0-0.836801233,1.932464027,+AC0-1.512099553,0.801874172,2.669102823,0.0
118.0,+AC0-3.010134336,1.548268357,+AC0-0.568293032,0.209247169,2.317043914,+AC0-1.242233911,+AC0-2.727464441,1.0
119.0,+AC0-0.591987065,+AC0-2.618652027,+AC0-1.073478951,1.114681034,+AC0-2.536374537,1.75475805,+AC0-1.660639485,0.0
120.0,+AC0-3.835874261,+AC0-0.838795598,1.412859983,2.251267651,+AC0-0.343720948,0.946562081,1.66131914,0.0
121.0,+AC0-0.776404994,+AC0-0.116796706,+AC0-1.813091624,1.241549833,+AC0-0.577928389,1.3258787,0.224019932,0.0
122.0,+AC0-3.202902826,+AC0-0.849827194,+AC0-1.106207159,0.473819325,+AC0-0.023440485,2.356287012,+AC0-1.590747921,0.0
123.0,0.695632239,+AC0-1.669059782,+AC0-1.442125181,2.189043678,+AC0-2.767055359,0.764050341,+AC0-0.12163975,0.0
124.0,0.089707401,+AC0-2.249989911,+AC0-2.673620318,2.762214054,0.035969561,+AC0-0.903596811,+AC0-1.456133779,1.0
125.0,+AC0-2.229105842,+AC0-1.097255857,3.589921649,0.140221663,1.563118086,+AC0-0.161918178,+AC0-1.335152047,1.0
126.0,+AC0-2.245482916,+AC0-0.047701365,0.250696269,0.771605049,2.243000186,+AC0-0.687586724,3.378856539,0.0
127.0,+AC0-3.715530466,0.002641572,1.683646065,0.094039461,3.192435018,+AC0-1.013795897,4.43608798,0.0
128.0,+AC0-2.454612376,+AC0-0.386469591,+AC0-1.073484764,0.914051503,1.925401868,2.438000463,0.338913734,0.0
129.0,+AC0-1.162845918,+AC0-1.416945478,0.440112947,2.653944392,+AC0-0.095678282,+AC0-0.95044423,3.145872884,0.0
130.0,+AC0-3.423662708,+AC0-1.835010061,0.79489908,+AC0-0.557657446,4.606234531,0.177582667,3.766012647,0.0
131.0,1.74387082,1.632728712,+AC0-1.279297479,2.758798983,+AC0-2.420213906,+AC0-0.214932142,2.064118217,1.0
132.0,+AC0-2.267533079,+AC0-0.995608169,2.254678222,+AC0-0.620752464,+AC0-0.772808023,1.336250891,+AC0-0.320548874,1.0
133.0,4.420781942,+AC0-2.547671341,+AC0-1.756285833,0.901810165,+AC0-0.41284149,1.987165436,1.613529813,1.0
134.0,0.132455297,+AC0-3.037876516,+AC0-2.464537418,1.619229919,0.300120344,2.110550784,+AC0-3.408117425,0.0
135.0,1.482288925,+AC0-0.107158332,+AC0-0.746690054,+AC0-0.561767309,2.996683488,+AC0-0.907478278,2.288403252,1.0
136.0,0.019720454,+AC0-0.591226131,+AC0-1.739235973,0.001208279,0.695052559,+AC0-0.018453271,1.307264909,0.0
137.0,0.263844265,+AC0-2.896271718,+AC0-0.157614476,+AC0-0.184619255,+AC0-2.848897253,0.40465954,+AC0-3.04217039,0.0
138.0,+AC0-0.820988945,0.934444962,+AC0-1.336150538,2.18383263,0.632514819,1.420930219,2.434754044,1.0
139.0,0.031054092,0.563083299,0.380777887,1.308722315,0.317110162,0.435548896,+AC0-2.336331708,1.0
140.0,1.096306694,+AC0-2.511438246,+AC0-3.217207284,1.956905463,+AC0-1.502347429,2.892814192,+AC0-0.946008716,0.0
141.0,+AC0-2.5046086,+AC0-3.10825316,+AC0-1.138621602,1.002183537,+AC0-2.206212956,1.81162049,+AC0-3.692780634,0.0
142.0,1.259488062,+AC0-0.557897892,+AC0-2.578773172,+AC0-0.488970287,2.581218915,+AC0-0.232605116,0.489466669,0.0
143.0,+AC0-1.081714895,+AC0-0.128446068,0.092911562,2.23528499,+AC0-0.550942521,0.300268219,0.638823121,0.0
144.0,+AC0-1.117420987,+AC0-1.379325233,+AC0-1.274428562,0.484136657,1.478881722,1.372509488,1.721389057,0.0
145.0,+AC0-3.570020052,+AC0-1.557671942,0.397887599,0.287215334,4.264960529,1.046411866,4.21395771,0.0
146.0,1.348563992,+AC0-2.629308349,0.688814575,4.579679142,3.793939947,0.178613673,+AC0-0.414499767,1.0
147.0,+AC0-1.528953268,+AC0-2.205766019,2.315552145,1.345569372,3.644528254,+AC0-0.297462663,+AC0-2.386929328,1.0
148.0,1.460308911,1.892238181,+AC0-1.421187896,+AC0-0.421416349,0.514115397,0.231571255,3.38751734,1.0
149.0,0.375263094,+AC0-1.445870732,+AC0-1.181046758,2.601463324,2.827291819,1.732763933,1.60008799,1.0
150.0,1.187548188,+AC0-3.488738179,+AC0-0.024981539,1.056351322,2.167240994,+AC0-1.40784869,1.191130833,1.0
151.0,+AC0-2.462903545,+AC0-0.56298005,+AC0-2.128611939,2.105099597,+AC0-3.970096582,0.642830033,+AC0-0.268954307,0.0
152.0,0.192116931,1.363093766,+AC0-0.10482675,+AC0-1.511940374,+AC0-0.659624142,2.737156973,+AC0-0.187720712,1.0
153.0,+AC0-3.807691336,0.218192462,1.47690846,+AC0-0.015662125,3.141111879,0.216348362,3.133728152,0.0
154.0,+AC0-1.686955832,+AC0-2.204779193,0.521074661,0.700608712,+AC0-1.900296944,0.541469431,+AC0-2.179682618,0.0
155.0,+AC0-3.918492,+AC0-0.289518756,2.678073186,+AC0-1.298396226,0.766755063,0.360116105,+AC0-2.206017085,1.0
156.0,1.949866355,+AC0-0.78061046,+AC0-3.134467206,0.115946901,0.418511509,+AC0-1.729952765,1.378138082,0.0
157.0,+AC0-1.875731895,+AC0-1.104573125,0.106934755,2.808359421,+AC0-2.198678855,1.81962532,0.099814677,0.0
158.0,0.471148646,+AC0-1.879177608,+AC0-3.945108574,0.457821962,1.827044676,2.926514012,0.151744842,0.0
159.0,0.008339314,+AC0-0.258309041,+AC0-0.589022384,2.216558601,2.347407105,+AC0-0.439727813,+AC0-4.797638853,1.0
160.0,+AC0-3.023822478,+AC0-0.847654554,+AC0-3.926479139,0.630642487,+AC0-3.392707898,4.042267742,+AC0-0.760862459,0.0
161.0,3.256911049,0.976144038,+AC0-0.403344001,6.2978733,+AC0-4.283277957,+AC0-5.864598918,3.499264098,0.0
162.0,0.60095618,+AC0-1.304680848,0.785337141,1.77135522,1.123839658,1.413786932,2.347861337,1.0
163.0,1.360929382,+AC0-0.96968507,+AC0-2.874481807,0.905055776,+AC0-0.131909036,0.135906234,1.612088232,0.0
164.0,+AC0-1.338021204,+AC0-0.414034255,+AC0-1.038987796,2.193987982,0.339238297,2.055288914,+AC0-0.240021926,0.0
165.0,+AC0-0.348624748,1.836154471,+AC0-0.191222937,3.549381795,+AC0-0.850150689,+AC0-3.651885426,1.656620737,0.0
166.0,+AC0-0.915869276,+AC0-2.117531246,+AC0-0.722324515,2.038503324,+AC0-1.550706333,2.45530978,+AC0-2.058734686,0.0
167.0,0.648402541,+AC0-0.597957787,+AC0-0.348551625,1.205653487,0.685866506,2.032251339,+AC0-2.212947993,1.0
168.0,2.21434852,+AC0-0.029326384,+AC0-1.643311119,3.375367909,+AC0-0.310931919,+AC0-0.733331668,1.010299062,1.0
169.0,+AC0-2.165809285,+AC0-2.176449345,2.300174059,+AC0-0.551487323,+AC0-0.902726119,2.76263541,+AC0-2.031178367,1.0
170.0,0.892740511,+AC0-2.570260056,0.686402779,2.202009135,+AC0-0.332587693,+AC0-1.84103477,1.402970488,1.0
171.0,+AC0-2.628903261,+AC0-2.051180555,+AC0-1.242758926,0.028318851,+AC0-0.47431424,1.340058514,2.258237957,0.0
172.0,+AC0-0.125752474,0.024644668,0.003255809,1.456974463,+AC0-0.178901872,2.083774003,+AC0-0.131763548,1.0
173.0,+AC0-0.784981331,+AC0-2.564694602,+AC0-2.836161957,1.629181923,+AC0-0.846003106,5.548138248,+AC0-2.178990218,0.0
174.0,0.268229651,+AC0-1.157147229,2.571969295,+AC0-0.329584616,+AC0-1.242081671,2.226250142,3.04163101,1.0
175.0,+AC0-3.005490261,+AC0-0.487316731,2.24018426,+AC0-0.952809122,1.930097417,+AC0-0.252653951,+AC0-2.337145932,0.0
176.0,1.68387841,+AC0-2.242187311,2.246057204,1.356224587,+AC0-1.252226707,+AC0-1.720518508,+AC0-0.961003564,0.0
177.0,+AC0-1.080276744,1.244658574,1.21506728,+AC0-0.812246149,+AC0-0.062306598,+AC0-0.277077972,+AC0-1.977000824,1.0
178.0,+AC0-3.075078731,+AC0-1.516497512,+AC0-1.668607355,0.17190714,1.103576195,3.378228149,+AC0-0.001593958,0.0
179.0,0.443371969,+AC0-2.637919054,0.319253124,2.622455078,2.551202269,1.188443399,+AC0-1.01323595,1.0
180.0,2.181240068,+AC0-2.280900032,0.471697078,2.992732794,+AC0-0.991189052,2.617760127,2.560803351,1.0
181.0,+AC0-1.618411896,+AC0-2.896226814,3.299581555,1.411916324,1.359808992,0.900346665,0.157979193,1.0
182.0,+AC0-2.555517069,+AC0-0.517085125,+AC0-0.931773343,+AC0-1.083535822,0.638363982,3.299071102,+AC0-1.136878191,0.0
183.0,+AC0-2.456224718,+AC0-1.300668395,1.90372355,+AC0-0.329152285,0.640678341,0.325072927,+AC0-2.568301692,1.0
184.0,+AC0-4.968508091,+AC0-0.814306344,+AC0-0.481642861,1.81428028,1.347888899,3.772846884,1.951705686,0.0
185.0,+AC0-0.307073326,+AC0-1.550695072,+AC0-4.76534958,+AC0-1.648888502,4.753762729,2.603039417,2.597690447,0.0
186.0,+AC0-1.62359989,1.667150674,+AC0-1.004611802,+AC0-0.173799019,+AC0-2.276911981,0.91422704,2.056639697,0.0
187.0,+AC0-2.743304348,+AC0-1.214042748,+AC0-1.989254772,+AC0-0.650297674,+AC0-0.495183534,3.849168921,+AC0-1.865832708,0.0
188.0,+AC0-2.65336393,+AC0-1.616297644,2.625948508,0.195550555,2.423620841,+AC0-0.194978796,+AC0-3.940779763,1.0
189.0,+AC0-2.684927932,+AC0-1.374554151,1.014252339,+AC0-0.083819478,1.661636915,2.814118944,+AC0-0.765000312,0.0
190.0,+AC0-0.433011417,+AC0-1.473763868,1.062339037,0.988938696,0.219544502,2.118380707,0.924712224,1.0
191.0,2.924428979,+AC0-0.928250862,+AC0-4.66314002,+AC0-0.547998692,2.730188913,1.898161594,+AC0-0.237263801,1.0
192.0,+AC0-1.711440159,0.620783857,+AC0-0.733591501,+AC0-0.351416416,+AC0-1.095210862,1.754156022,0.859773406,0.0
193.0,+AC0-2.133101288,+AC0-0.739687703,+AC0-0.748786782,0.474687947,1.771861564,1.257156655,0.260288653,0.0
194.0,+AC0-2.937618954,+AC0-0.707787835,1.111767952,0.697300735,0.991532995,0.388504227,0.848923139,0.0
195.0,1.30099058,+AC0-1.285592981,0.443454862,1.216461107,0.411152616,+AC0-3.548540692,4.169748166,0.0
196.0,+AC0-0.815840338,+AC0-0.301607054,+AC0-0.001498001,+AC0-0.384303701,+AC0-1.081998656,2.344492477,+AC0-0.493978613,1.0
197.0,+AC0-1.674179974,0.396477028,1.075878215,1.092842357,1.384085548,+AC0-0.199555485,+AC0-0.404406676,0.0
198.0,+AC0-1.776972339,+AC0-1.877025092,+AC0-0.698024434,+AC0-0.246476001,2.475935508,0.0818841,5.011310465,0.0
199.0,+AC0-3.976937188,+AC0-1.876774175,+AC0-0.103705872,1.482253754,+AC0-0.416406564,1.765280919,2.718979289,0.0
200.0,+AC0-1.193551717,+AC0-1.484548885,+AC0-1.682801417,+AC0-0.255826272,1.888296732,1.369561333,1.640197921,0.0
201.0,+AC0-4.389864451,0.185576339,2.327504128,0.949380586,2.207851054,0.288004605,3.761634732,0.0
202.0,1.10364773,+AC0-3.016143154,2.019128766,1.746410622,2.761662424,+AC0-3.302013877,2.874555906,1.0
203.0,+AC0-2.840872316,0.358602795,+AC0-3.130451219,+AC0-0.184855661,+AC0-0.047626658,4.057415096,+AC0-0.157130678,0.0
204.0,0.237405908,+AC0-0.743632082,1.892783174,1.366006813,1.26545143,1.023981506,1.095010268,1.0
205.0,0.099322411,+AC0-2.018287273,+AC0-1.592637735,2.015768102,+AC0-1.482077353,0.86335326,+AC0-1.710943166,0.0
