geo_level_1_id,geo_level_2_id,geo_level_3_id,count_floors_pre_eq,age,area_percentage,height_percentage,has_superstructure_adobe_mud,has_superstructure_mud_mortar_stone,damage_grade
26,39,9133,1,10,14,3,0,0,1
9,230,2078,2,15,10,4,0,0,1
27,390,24,4,60,9,8,0,0,1
9,546,12341,1,5,9,3,0,0,1
10,83,8021,3,45,10,8,0,1,2
17,1183,1113,3,15,7,7,0,1,2
6,287,3107,3,30,8,6,0,1,2
26,39,10795,1,0,17,3,0,0,1
17,1322,5359,3,10,6,7,0,1,2
6,981,7008,2,35,7,6,0,1,1
6,1253,5667,3,25,9,8,0,0,1
10,310,8321,2,5,3,4,0,1,1
20,136,4769,2,0,5,7,0,0,0
16,350,320,2,5,4,5,0,1,1
5,82,8819,3,20,7,7,0,1,1
10,90,11215,2,0,3,5,0,1,2
0,1274,4190,2,35,8,5,0,1,1
7,4,3979,2,40,9,4,0,1,1
17,1183,3257,2,20,9,5,0,1,2
25,1065,3930,2,10,5,6,0,1,1
6,1108,5245,2,35,7,8,0,1,2
11,765,3900,2,50,10,7,1,1,2
26,1110,4418,2,10,6,5,0,1,1
4,1095,6902,3,35,6,6,0,1,2
4,1202,5735,1,5,5,3,0,0,1
17,409,1701,2,5,11,7,0,1,2
5,853,1474,2,70,11,6,0,1,1
3,720,6531,3,20,6,8,0,1,2
6,376,12081,2,30,14,4,0,1,1
16,1012,6032,2,10,6,5,0,1,2
8,1225,3244,3,5,5,6,0,1,2
7,895,2140,2,15,8,4,0,1,2
8,1008,11555,1,35,7,3,0,1,2
10,1397,3396,1,10,8,3,0,1,1
21,477,4348,3,0,5,6,0,1,2
13,569,9184,3,0,12,6,0,1,1
4,369,911,2,0,13,5,0,1,1
7,964,512,2,15,8,5,0,1,1
20,517,269,2,25,6,6,0,1,1
4,474,11771,2,10,8,7,0,1,1
6,818,10038,2,10,21,4,0,1,1
3,574,4163,3,30,6,8,1,0,1
15,914,159,1,50,4,2,0,1,1
7,749,11262,2,5,9,5,0,1,1
26,39,11246,1,0,37,3,0,0,0
13,1035,7069,2,15,6,5,0,1,1
21,111,2181,3,10,10,6,0,1,2
6,262,4256,2,20,4,7,0,1,1
13,1365,10314,3,30,7,8,0,1,1
3,1387,8014,5,30,6,10,0,0,1
27,422,9497,2,0,14,7,0,0,0
6,187,9769,1,0,5,2,0,0,1
17,1183,3022,2,40,6,5,1,1,2
13,569,3291,2,10,11,6,0,1,1
22,942,452,2,10,6,5,0,1,2
13,523,12561,2,5,6,5,0,1,1
3,1387,8014,5,60,3,10,0,0,1
13,239,9298,2,10,3,5,0,1,2
18,751,8804,3,15,9,7,0,1,1
4,369,10737,2,15,6,5,0,1,1
26,110,11672,2,65,9,7,0,1,1
6,1022,8440,2,25,4,6,0,1,2
6,464,2800,2,0,4,4,0,1,1
20,236,141,1,10,5,5,0,1,1
4,699,5552,2,20,8,5,0,1,1
14,248,11001,2,15,6,6,0,1,1
22,355,10944,1,10,8,3,0,1,1
19,1070,4670,2,25,8,4,0,1,2
20,863,11793,2,5,7,6,0,1,1
7,157,6114,2,25,11,4,0,1,2
17,1196,2198,3,15,7,6,0,1,2
20,254,10698,1,10,4,5,0,0,1
27,1394,4411,2,60,11,5,0,1,2
10,127,1307,2,5,6,5,1,1,1
1,1169,8127,1,60,10,3,1,1,1
25,1186,3206,2,20,11,5,0,1,1
20,953,5878,2,10,14,6,0,0,1
26,39,633,1,10,11,3,0,0,0
8,1414,266,3,30,6,7,0,1,1
6,539,12168,2,15,7,6,0,1,1
26,110,7692,3,55,11,10,0,1,1
17,367,4869,2,20,16,5,0,1,2
10,575,9093,2,0,4,5,0,1,1
1,871,3175,2,20,7,5,0,1,2
20,672,313,2,20,5,5,0,1,1
8,1009,450,2,0,3,6,0,1,2
16,352,1413,2,20,19,6,0,1,1
21,727,6358,2,35,6,4,0,1,2
1,907,9117,2,15,2,4,0,1,1
20,1112,5573,2,10,7,4,0,0,1
27,1106,6656,2,30,11,5,1,0,2
20,190,9386,2,10,15,6,0,0,1
10,337,296,2,15,5,5,0,1,1
27,422,11125,1,20,5,3,0,1,2
25,745,3003,2,25,8,4,0,1,1
26,1028,5591,3,45,9,7,0,1,1
17,876,6007,2,20,21,5,0,1,2
20,1217,3908,2,15,6,6,0,1,1
21,324,6637,1,15,6,2,0,1,2
8,426,6408,1,5,3,3,0,1,2
10,575,1463,2,5,8,5,0,1,1
0,1274,2521,2,20,6,5,0,1,1
24,628,6963,3,15,28,7,1,0,1
7,675,277,1,50,4,2,0,1,2
30,73,10557,2,25,17,4,0,1,2
4,388,12059,2,0,7,5,0,1,1
27,1155,11652,3,15,16,8,0,1,1
30,795,1786,2,25,7,7,0,1,1
8,1414,11124,3,10,6,5,0,1,2
21,9,9101,3,30,3,6,0,1,2
27,1394,6663,3,30,3,6,1,0,2
10,87,10522,2,15,5,6,0,1,2
3,720,9139,3,15,13,7,1,0,1
20,158,2452,2,25,9,4,0,0,1
26,896,773,2,0,3,4,0,0,0
22,816,6854,2,30,8,5,0,1,2
6,592,8546,2,35,11,6,1,1,1
20,158,9229,1,10,4,3,0,1,2
26,896,9195,2,30,4,3,0,0,0
30,1391,3001,2,45,9,5,0,1,0
6,516,8770,3,10,6,5,0,1,1
28,121,11050,3,15,9,8,0,1,2
17,618,8632,2,15,12,6,0,1,2
17,721,6677,3,20,2,32,0,1,2
17,1067,3219,2,10,8,6,0,1,2
10,1382,8286,1,15,7,4,0,1,2
26,432,2370,2,0,11,5,0,0,0
30,795,1916,2,20,7,7,0,1,1
20,1021,10526,2,0,6,6,0,0,0
3,1006,4570,3,60,5,8,1,0,2
21,782,3897,2,0,7,6,0,0,0
27,548,6721,2,25,7,5,0,1,2
25,889,9084,2,15,7,6,0,1,1
20,500,9647,2,0,15,8,0,1,2
13,239,6349,2,10,3,6,0,1,2
13,606,1236,2,5,38,5,0,1,1
25,296,1952,2,10,8,5,0,1,1
8,501,7386,3,30,9,7,0,1,1
11,765,7376,3,40,9,7,1,0,2
4,1276,359,1,15,4,3,0,0,1
17,1381,12162,3,20,3,7,0,1,2
11,660,4821,3,30,14,8,0,0,1
13,1310,4214,2,20,5,5,0,1,1
10,1207,12014,3,30,5,7,0,1,2
25,745,2704,2,25,4,5,0,1,1
4,40,2797,2,10,8,5,0,1,1
20,497,9251,1,10,6,5,0,1,1
11,883,425,4,10,7,12,0,0,1
6,770,6581,2,20,7,7,0,1,1
3,574,1256,2,30,5,7,0,0,2
7,969,6746,2,5,4,7,0,1,1
20,270,5471,1,10,6,3,0,0,0
11,883,2822,5,100,12,11,0,0,1
7,749,11262,2,25,11,5,0,1,1
11,161,5988,2,10,4,6,0,1,2
13,221,2395,3,10,6,7,0,1,2
10,960,4657,2,30,4,4,0,1,2
10,661,9789,2,15,4,4,0,1,1
12,402,4955,2,15,4,4,0,1,1
6,457,11565,2,5,8,7,0,1,1
17,992,11870,2,20,8,6,1,1,2
6,724,10578,2,5,9,5,0,1,1
11,850,4688,3,15,8,7,0,0,1
20,174,11278,2,10,5,6,0,1,1
17,289,3449,2,75,6,5,0,1,1
30,1111,2068,2,20,4,4,0,1,1
26,39,9897,2,30,56,6,0,0,1
7,746,7595,2,0,1,5,0,1,1
4,755,10987,3,20,8,10,0,1,1
26,39,11246,1,0,6,2,0,0,0
13,1142,2125,2,0,13,6,0,1,1
17,367,4731,2,60,9,5,0,1,2
13,606,11975,2,0,11,5,0,1,1
20,158,9229,2,20,4,5,0,1,1
13,808,8106,2,5,8,5,0,1,1
20,1021,5023,2,10,13,5,0,0,0
7,904,2782,2,15,2,6,0,1,1
27,548,10720,3,85,7,6,0,1,2
20,254,10151,2,5,4,4,0,0,1
8,1020,2040,2,35,4,5,0,1,1
17,303,4121,2,10,5,5,0,1,2
6,1135,10872,2,20,6,5,0,1,2
19,160,12346,2,20,4,5,0,1,2
13,909,1637,2,30,4,6,0,1,1
6,1350,5830,2,0,20,7,0,0,0
17,263,9905,3,15,7,6,1,0,1
6,932,8018,2,20,3,7,0,1,1
11,765,7376,3,60,10,7,1,0,2
6,673,2803,1,5,4,3,0,1,1
17,367,7254,2,5,9,5,0,1,2
17,51,6788,3,20,6,7,0,1,2
7,423,10838,2,65,5,5,0,1,1
16,246,4699,2,15,8,7,1,1,2
16,1133,1124,1,25,8,3,0,1,1
8,178,5506,2,15,9,4,0,1,2
8,678,816,3,15,6,8,0,1,1
20,281,12017,2,10,6,7,0,1,1
27,533,2470,1,10,10,3,0,0,1
6,1253,3073,3,5,16,9,0,0,0
5,656,7049,2,20,6,6,0,1,1
3,175,3564,4,35,24,8,0,0,2
10,1278,10688,2,10,4,5,0,1,2
25,58,3823,1,50,5,3,0,1,2
20,190,4550,1,10,5,4,0,0,1
7,800,1752,2,15,5,5,1,0,1
15,188,10537,2,25,7,5,1,0,1
7,49,4384,2,25,6,8,0,1,2
26,1401,2557,1,15,11,3,0,0,0
10,105,3848,2,15,3,5,0,1,2
6,1108,3176,2,25,7,8,0,1,1
11,660,4317,2,15,16,5,0,0,1
26,39,9133,1,30,34,3,0,0,1
21,363,7868,3,10,11,10,0,0,1
21,9,12328,3,20,11,6,0,1,2
26,36,11590,1,0,4,3,0,0,0
17,566,9549,2,15,13,6,0,0,1
26,1132,3071,2,5,8,8,0,0,0
7,1328,11161,2,0,9,5,0,1,1
27,181,3180,1,5,8,3,1,0,2
17,367,5884,2,80,9,7,0,1,2
6,1041,5880,2,40,10,5,1,1,1
24,927,6996,3,40,7,6,0,1,1
1,14,2768,2,35,9,4,0,1,0
3,1006,8560,2,5,7,5,0,0,2
6,1384,2064,1,10,8,2,0,1,1
3,1229,3226,3,30,6,9,1,0,2
13,18,11752,2,5,5,5,0,1,1
7,84,3255,2,25,6,4,0,1,1
7,157,5181,2,15,4,5,0,1,1
8,1414,11286,2,25,8,4,0,1,1
9,445,10728,2,0,6,5,0,1,2
25,513,4791,1,10,9,2,0,1,1
4,972,6999,2,15,5,6,0,1,1
26,358,1406,2,20,11,6,0,1,1
17,1183,3022,2,10,5,5,1,1,2
8,638,10781,2,0,5,4,0,1,1
26,1085,4428,2,5,5,4,0,1,2
8,600,3238,2,15,9,8,0,1,2
17,1149,4221,3,30,5,7,0,1,2
27,181,5637,1,20,5,3,1,0,2
1,679,7499,2,40,12,5,0,1,1
10,90,3395,3,40,2,6,0,1,2
26,1377,1607,1,5,1,2,0,0,0
9,568,691,2,15,6,5,0,1,2
13,553,11598,1,25,6,3,0,1,1
9,445,921,1,5,12,3,0,0,1
9,210,1198,1,15,9,3,0,0,0
7,258,12275,3,0,10,10,0,0,0
18,134,615,2,5,9,5,0,1,2
7,728,9509,2,25,5,4,0,1,1
6,845,9204,4,5,20,13,0,0,0
21,645,4158,3,30,8,7,0,1,1
30,73,11442,2,15,15,6,0,0,0
25,745,6957,2,25,12,7,0,1,1
4,1235,3398,3,0,16,7,0,1,1
4,616,1387,3,15,7,7,0,1,2
7,749,8877,2,5,7,5,0,1,1
10,83,8243,2,15,9,7,0,1,1
26,1110,3729,2,5,6,7,0,1,1
15,535,9936,2,20,8,4,0,1,1
21,477,4348,3,190,6,7,0,1,2
4,741,6450,3,10,8,8,0,1,1
30,795,10218,2,25,7,4,0,1,1
10,70,5834,2,10,4,4,0,1,1
17,409,3304,2,0,8,7,0,1,2
10,1397,3396,2,0,7,5,0,0,0
20,1021,5023,2,10,9,5,0,0,0
10,70,7648,2,0,4,5,0,1,1
8,1225,3947,2,20,10,5,0,1,1
20,1112,2492,2,10,6,3,0,0,1
7,545,11431,2,5,5,6,0,1,1
4,91,11889,1,5,4,2,0,1,2
27,1000,4802,3,30,7,7,1,1,1
6,931,8574,3,20,7,7,1,0,2
26,1001,171,1,0,12,3,0,0,0
25,745,9606,2,15,7,6,0,1,1
8,1221,3962,2,40,14,5,0,1,2
22,165,8603,2,10,5,4,0,1,0
20,1161,8896,2,20,5,5,0,1,1
27,216,7351,1,10,10,3,0,0,1
7,1166,8314,1,0,6,3,0,0,1
0,146,11169,2,10,4,4,0,1,1
27,533,5800,2,15,16,7,0,0,1
6,1241,7566,2,15,7,7,0,1,1
26,896,773,2,15,4,3,0,1,0
9,230,12430,1,10,5,3,0,0,1
27,548,4339,2,30,26,7,0,1,2
17,805,10132,2,15,7,4,0,1,2
27,269,5197,2,5,6,5,0,1,2
10,1127,10580,2,20,9,5,0,1,2
8,1009,5887,3,15,8,9,0,1,2
10,996,7719,3,25,11,6,0,1,2
17,596,11657,3,5,8,6,0,1,1
24,1388,9553,2,10,5,4,0,1,1
17,992,3999,2,20,7,6,0,1,2
6,671,10776,2,5,15,8,0,1,2
8,1414,12319,3,45,6,6,1,0,2
26,991,2757,2,15,5,5,0,1,1
6,898,5641,1,0,12,3,0,0,0
6,1289,5149,2,25,7,5,0,1,1
11,155,4247,2,15,6,8,0,1,1
16,89,3043,2,50,12,4,0,1,1
7,423,4879,2,10,4,5,0,1,1
10,1248,2932,2,45,6,4,0,1,1
10,562,7451,2,25,4,4,0,1,1
8,206,1107,2,20,11,8,0,1,2
8,206,1107,2,15,20,7,0,0,1
4,1276,2337,2,20,6,6,0,1,1
27,1155,1757,3,25,18,8,1,1,1
26,991,294,1,0,12,4,0,0,0
10,1407,11944,2,20,5,5,1,1,1
17,229,6715,2,35,3,5,0,1,2
6,818,122,2,50,8,6,1,1,1
27,1394,10867,3,30,10,8,0,1,2
8,1009,7961,3,15,10,9,0,1,2
17,596,6707,2,25,6,4,0,1,2
23,882,6247,1,25,7,2,0,1,1
10,405,7023,2,10,4,4,0,1,1
10,87,7511,2,20,5,7,0,1,1
10,1055,12193,2,10,9,4,0,1,1
21,694,4091,3,10,8,6,0,1,2
3,720,5019,2,35,11,5,1,0,2
14,1120,3789,3,995,12,5,0,1,1
17,1080,1606,2,5,6,4,0,1,2
8,900,2402,2,10,6,4,0,1,2
26,1132,3071,2,25,5,7,0,0,1
12,591,8345,2,20,6,4,0,1,0
24,1331,388,3,35,6,7,0,1,1
4,747,12186,2,20,6,6,0,1,1
7,157,1548,3,15,12,10,0,0,1
23,312,11298,2,40,7,4,1,1,1
17,930,2687,3,20,6,6,0,1,2
25,745,3003,1,10,8,3,0,0,0
25,843,7859,2,10,9,6,0,1,1
18,371,11761,1,0,6,5,0,0,2
17,263,5214,2,25,5,4,0,1,2
21,645,4182,3,15,8,7,0,1,1
26,39,2005,1,10,31,4,0,0,1
8,1049,7782,2,15,14,5,0,1,2
4,1276,6739,2,0,7,7,0,1,1
6,1287,9855,3,30,9,6,0,1,2
10,804,11371,2,5,6,5,0,1,2
20,1378,8,2,20,8,4,0,1,1
8,1184,10035,2,5,14,6,0,1,2
7,255,11900,2,15,8,4,0,1,2
10,1382,1903,2,30,7,5,1,0,1
6,1168,2858,2,15,8,6,0,1,1
1,16,7720,2,25,6,4,0,1,1
17,399,984,3,40,6,7,0,1,2
20,953,9111,1,0,19,3,0,0,0
6,48,959,2,5,8,5,0,1,1
21,873,3903,2,5,3,5,0,1,1
6,994,7166,2,15,6,5,0,1,1
6,845,7126,2,15,6,5,0,1,2
16,1056,12356,1,0,15,3,0,1,2
6,1253,5667,4,105,11,9,0,0,1
6,193,78,3,15,9,6,0,1,1
26,896,12492,2,0,9,6,0,1,1
21,645,8096,2,5,6,5,0,1,2
26,1001,12258,2,5,5,5,0,0,1
21,313,10014,3,5,6,5,0,1,2
13,730,11068,2,35,13,5,0,1,0
10,142,4273,2,5,5,6,0,1,1
22,1320,11775,1,10,3,3,0,1,1
17,967,3474,2,0,6,5,0,1,1
14,950,12488,3,30,14,9,0,1,1
13,223,1178,2,15,9,6,0,1,2
3,1229,11320,3,15,14,10,1,0,1
3,720,3629,2,40,13,5,1,0,2
27,1394,7659,2,0,12,6,0,0,0
26,753,2024,1,10,6,4,0,1,0
20,517,6489,2,15,8,8,0,1,1
18,751,11557,3,25,8,6,0,1,1
26,991,2170,2,5,5,6,0,0,0
8,613,2667,3,15,15,7,0,1,1
20,953,9111,2,0,7,4,0,0,1
1,583,6571,3,5,8,5,0,1,2
8,678,10837,3,20,8,8,0,1,1
5,576,188,2,30,8,5,0,1,1
27,548,4339,2,35,4,4,0,1,2
4,972,9555,2,5,5,4,0,1,2
26,1401,4970,1,15,6,3,0,0,2
7,746,5011,1,5,7,4,0,1,2
20,342,9036,2,10,8,4,0,1,2
7,544,142,2,10,8,5,0,1,2
20,270,6121,2,0,7,4,0,0,2
6,452,4034,2,70,9,5,0,1,1
7,641,8847,2,20,5,5,0,1,2
20,1021,5023,2,10,9,5,0,0,1
8,640,7843,3,50,6,8,0,1,1
21,701,849,3,0,9,7,0,1,2
4,616,10328,2,15,8,4,0,1,2
13,1142,9448,2,0,11,6,0,1,1
15,316,17,3,35,12,6,0,1,1
20,215,4968,2,0,6,5,0,0,0
10,405,10970,1,5,2,2,0,0,0
21,9,2257,3,15,5,7,0,1,2
5,1079,4763,1,20,10,3,0,1,1
4,369,911,1,0,3,2,0,0,0
8,463,6973,1,5,10,3,0,0,0
6,673,10576,3,20,8,8,0,1,1
5,338,3372,2,15,10,5,0,1,1
6,1181,7711,2,5,8,5,0,0,0
21,107,11846,2,15,4,5,0,1,1
9,1151,3075,1,10,5,2,0,1,1
18,677,214,1,0,6,3,0,0,0
16,244,2236,2,20,8,5,1,0,2
7,555,2763,2,10,7,4,0,1,1
10,310,3637,2,100,4,4,0,1,1
6,376,3292,1,25,6,2,1,1,1
4,40,8377,2,0,3,4,0,1,1
20,1161,1436,2,30,6,5,0,1,1
27,181,2608,6,80,7,12,1,0,1
4,72,5340,2,5,8,7,0,1,1
22,1101,865,2,5,5,6,0,1,1
21,1128,11089,2,25,6,5,0,1,2
10,1407,11944,2,20,6,5,1,1,1
6,673,6023,4,0,10,10,0,0,0
26,39,633,1,10,25,3,0,0,0
13,918,6213,2,10,7,4,0,1,0
26,39,11440,1,0,15,3,0,0,0
30,1111,9926,2,10,9,5,0,1,1
17,247,3997,1,20,8,2,0,0,2
26,1001,6040,2,5,9,4,0,0,1
26,896,6053,2,0,8,6,0,0,0
3,1006,4119,3,35,11,8,0,1,1
21,645,7412,3,20,8,7,0,1,1
0,793,104,2,30,9,7,0,1,1
22,22,2467,2,25,7,5,0,1,2
27,1106,4888,2,20,25,5,0,1,2
17,1198,2398,3,55,7,6,0,1,2
4,1202,2074,2,20,5,4,0,1,1
7,1421,1013,2,35,14,4,0,1,2
11,660,2390,2,45,11,7,1,0,2
21,839,582,3,5,9,6,0,1,2
3,1387,8023,4,70,7,8,0,0,1
4,741,6450,3,5,8,8,0,1,1
17,1047,822,2,0,9,5,0,1,2
27,390,24,2,20,5,5,0,0,1
7,157,9272,1,15,5,3,0,1,1
6,141,1904,2,30,8,6,0,1,1
16,1410,5013,2,15,7,6,0,1,1
10,76,1841,2,20,11,6,0,1,1
9,445,5974,2,20,4,5,0,1,1
27,533,6783,2,25,11,5,1,0,2
26,1001,6626,1,10,5,6,0,0,1
7,838,11168,2,0,10,4,0,1,2
20,254,10151,1,5,9,3,0,0,1
3,1387,2486,5,90,9,16,1,0,1
0,1333,2671,2,15,5,5,0,1,0
20,1217,3908,2,15,4,5,0,1,2
10,1074,8048,3,30,5,6,0,1,2
15,620,1559,1,35,4,3,0,1,2
26,432,10811,2,25,11,7,0,1,1
1,1358,4285,2,20,8,5,1,1,2
5,365,10108,2,15,8,6,0,1,1
7,904,6928,2,20,1,5,0,1,1
10,661,10803,2,0,10,4,0,0,2
30,266,1909,1,50,7,2,0,1,1
17,303,3285,3,30,10,6,0,1,2
25,843,11372,2,25,7,4,0,1,1
7,545,3508,2,25,7,6,0,1,1
25,513,4791,1,15,5,2,0,1,1
20,11,4744,2,25,6,5,0,1,1
8,678,7474,2,15,3,6,0,1,2
21,408,10610,2,50,4,7,0,1,2
10,1055,11945,2,0,5,6,0,1,0
20,215,4968,1,5,3,3,0,0,1
8,463,8236,2,5,16,6,0,0,0
6,376,10236,1,15,8,3,0,0,1
21,1128,11089,2,10,4,4,0,1,2
14,5,4937,2,15,8,5,0,1,1
6,1060,8148,1,5,6,2,0,1,2
14,1116,4734,2,10,5,5,0,1,2
10,90,3395,3,15,2,6,0,1,2
17,992,1083,1,15,6,4,0,1,1
6,1210,11979,2,20,7,7,0,1,1
22,1398,3765,2,15,5,5,0,1,0
21,581,8549,2,25,6,4,0,1,1
20,190,4550,2,25,6,6,0,0,1
20,342,9036,2,0,6,5,0,1,1
6,673,3679,3,15,7,7,0,0,1
13,778,9086,2,10,11,5,0,1,2
13,918,6213,2,20,9,5,0,1,1
27,422,4747,3,5,6,8,1,0,2
6,376,11743,2,40,11,5,1,1,2
13,1211,8802,2,5,13,4,0,1,1
10,138,11100,2,5,5,5,0,1,2
26,1377,6207,1,0,8,5,0,0,1
20,254,380,2,20,3,5,0,0,1
8,95,3112,2,0,5,4,0,1,2
8,626,9901,2,0,5,4,0,1,1
17,421,4900,1,20,4,5,0,1,2
8,268,5059,2,15,5,4,0,1,1
26,39,11246,2,25,6,6,0,1,2
11,765,3888,3,35,14,9,0,0,2
11,131,6245,2,45,9,5,1,0,1
26,36,7472,1,0,6,4,0,0,1
11,938,1459,2,70,5,7,0,1,1
4,1276,3388,2,25,6,5,0,1,1
26,762,10530,2,20,7,5,0,1,1
8,1020,11195,2,50,8,4,0,1,2
26,264,1846,2,0,6,5,0,0,1
10,1074,1601,1,60,7,3,0,1,2
17,229,6715,2,20,11,4,0,1,2
8,1221,480,2,0,10,6,0,1,2
7,545,9046,2,35,6,4,0,1,1
0,757,4055,2,15,12,5,0,1,1
10,417,9412,2,20,6,5,0,1,1
16,177,4571,2,5,7,6,0,1,1
10,83,205,2,15,6,5,0,1,1
17,80,8005,3,10,6,6,0,1,1
25,167,10433,2,45,10,6,0,1,1
26,39,9133,2,10,10,6,0,0,0
13,1035,5269,2,70,10,5,0,1,1
30,710,1448,3,25,10,8,0,1,1
7,430,1493,3,45,12,8,0,1,2
7,423,1926,2,30,5,5,0,1,2
8,659,119,3,30,5,7,0,1,2
4,598,10055,2,0,8,4,0,1,1
4,328,8519,2,15,2,3,0,1,1
26,886,9266,1,0,6,2,0,0,0
21,645,8948,3,35,7,7,0,1,1
20,508,10459,2,10,8,5,0,1,0
16,547,5316,2,20,10,5,0,1,2
18,639,3504,2,0,7,5,0,0,2
11,647,5306,2,10,10,6,0,1,2
11,521,4625,2,20,8,8,0,1,1
21,956,8472,3,60,13,8,0,1,1
20,173,5183,1,0,4,4,0,0,1
6,1287,10834,3,5,8,6,0,1,1
7,544,11642,2,10,7,5,0,1,1
26,991,3006,2,5,7,5,0,1,0
21,819,4210,2,15,5,5,0,1,2
6,48,6988,2,25,7,5,0,1,1
17,80,11299,2,5,8,4,0,1,2
9,1298,4105,2,30,6,4,0,1,1
10,151,1244,3,0,6,8,0,1,2
27,1106,5492,3,5,6,7,1,0,1
6,384,8361,2,80,12,7,1,0,1
22,1152,1546,2,5,7,5,0,1,1
7,617,10187,2,40,10,5,0,1,2
0,757,7219,2,35,8,5,0,1,1
10,1278,6708,3,35,8,7,0,1,2
2,966,6512,3,30,20,6,0,1,0
20,158,2452,1,0,16,6,0,0,1
10,417,634,2,20,6,7,0,1,2
6,464,2807,2,10,4,5,0,1,1
1,583,524,2,25,6,5,0,1,1
22,1152,3526,2,30,7,5,0,1,1
7,904,12194,2,35,7,6,0,1,2
30,468,2626,2,20,12,5,0,1,1
27,390,10915,3,50,18,8,1,1,1
6,54,11486,1,15,3,4,0,1,1
7,555,2763,2,0,7,4,0,1,1
17,869,9068,2,40,8,5,1,1,1
16,479,1427,3,20,6,6,0,1,1
7,728,4424,2,15,11,5,0,0,1
26,110,3985,2,5,9,7,0,1,1
6,852,5280,3,15,8,7,0,1,2
7,157,1763,2,50,11,7,0,0,1
4,556,3157,2,15,6,5,0,1,1
6,376,5049,2,15,8,6,1,1,2
4,91,5139,1,5,3,3,0,1,1
9,546,11201,2,20,13,6,0,0,1
11,164,7057,2,25,5,5,1,0,1
25,889,7922,2,25,8,6,0,0,1
10,151,1357,3,0,6,7,0,1,1
17,980,3546,2,25,5,5,0,1,2
4,598,8152,2,15,10,5,0,1,1
27,390,600,4,90,6,10,1,0,2
21,363,9414,3,20,8,9,0,1,1
25,920,12191,2,25,6,5,0,1,1
10,1397,3786,3,0,9,10,0,0,1
20,1234,2790,1,45,3,2,0,1,1
4,571,7688,2,25,8,4,0,1,1
13,846,6387,2,30,7,10,0,1,0
10,87,2755,2,20,6,5,0,1,2
27,390,9720,4,100,5,8,1,0,1
5,1418,11670,1,20,8,3,1,0,0
17,303,2082,2,20,7,5,0,1,2
6,704,6176,1,40,1,4,0,1,1
4,891,11782,3,15,6,7,0,0,1
26,886,6562,2,40,9,4,0,0,0
27,548,7676,1,45,6,5,1,1,1
6,1253,4063,3,5,11,9,0,0,1
17,1381,12281,2,15,9,5,0,1,2
21,1419,7817,2,60,8,6,0,1,1
